Year,Conflict_type,Contp_count
1990,Government,37
1990,Government/territory,4
1990,Inter-group,0
1990,Other,0
1990,Territory,3
1991,Government,49
1991,Government/territory,28
1991,Inter-group,0
1991,Other,0
1991,Territory,7
1992,Government,23
1992,Government/territory,57
1992,Inter-group,0
1992,Other,0
1992,Territory,3
1993,Government,18
1993,Government/territory,66
1993,Inter-group,4
1993,Other,0
1993,Territory,4
1994,Government,28
1994,Government/territory,56
1994,Inter-group,0
1994,Other,0
1994,Territory,9
1995,Government,11
1995,Government/territory,50
1995,Inter-group,0
1995,Other,0
1995,Territory,4
1996,Government,19
1996,Government/territory,39
1996,Inter-group,0
1996,Other,0
1996,Territory,8
1997,Government,28
1997,Government/territory,43
1997,Inter-group,1
1997,Other,0
1997,Territory,0
1998,Government,16
1998,Government/territory,34
1998,Inter-group,1
1998,Other,0
1998,Territory,15
1999,Government,32
1999,Government/territory,39
1999,Inter-group,6
1999,Other,0
1999,Territory,8
2000,Government,18
2000,Government/territory,36
2000,Inter-group,2
2000,Other,0
2000,Territory,4
2001,Government,19
2001,Government/territory,33
2001,Inter-group,4
2001,Other,0
2001,Territory,2
2002,Government,23
2002,Government/territory,27
2002,Inter-group,2
2002,Other,0
2002,Territory,1
2003,Government,25
2003,Government/territory,26
2003,Inter-group,0
2003,Other,0
2003,Territory,0
2004,Government,14
2004,Government/territory,29
2004,Inter-group,3
2004,Other,0
2004,Territory,1
2005,Government,9
2005,Government/territory,16
2005,Inter-group,3
2005,Other,0
2005,Territory,2
2006,Government,37
2006,Government/territory,17
2006,Inter-group,5
2006,Other,0
2006,Territory,2
2007,Government,20
2007,Government/territory,10
2007,Inter-group,8
2007,Other,0
2007,Territory,6
2008,Government,46
2008,Government/territory,12
2008,Inter-group,6
2008,Other,0
2008,Territory,0
2009,Government,28
2009,Government/territory,11
2009,Inter-group,6
2009,Other,0
2009,Territory,1
2010,Government,11
2010,Government/territory,18
2010,Inter-group,3
2010,Other,0
2010,Territory,2
2011,Government,16
2011,Government/territory,26
2011,Inter-group,5
2011,Other,0
2011,Territory,3
2012,Government,10
2012,Government/territory,37
2012,Inter-group,6
2012,Other,0
2012,Territory,10
2013,Government,9
2013,Government/territory,21
2013,Inter-group,9
2013,Other,0
2013,Territory,3
2014,Government,29
2014,Government/territory,21
2014,Inter-group,28
2014,Other,1
2014,Territory,0
2015,Government,24
2015,Government/territory,23
2015,Inter-group,20
2015,Other,0
2015,Territory,0
2016,Government,27
2016,Government/territory,21
2016,Inter-group,25
2016,Other,0
2016,Territory,0
2017,Government,21
2017,Government/territory,7
2017,Inter-group,34
2017,Other,0
2017,Territory,1
2018,Government,15
2018,Government/territory,5
2018,Inter-group,24
2018,Other,0
2018,Territory,8
2019,Government,0
2019,Government/territory,1
2019,Inter-group,1
2019,Other,0
2019,Territory,0
